time,phase,device_id,phase_name,phase_id,record_id,2-outer-x,2-outer-y,2-outer-z,2-inner-x,2-inner-y,2-inner-z,3-outer-x,3-outer-y,3-outer-z,3-inner-x,3-inner-y,3-inner-z,0-outer-x,0-outer-y,0-outer-z,0-inner-x,0-inner-y,0-inner-z,1-outer-x,1-outer-y,1-outer-z,1-inner-x,1-inner-y,1-inner-z,sum-x,sum-y,sum-z,moments-x,moments-y,moments-z,COPx,COPy,bx,by,bz
1760643073005,simple,Load Cells,simple,simple.0,663766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.95,2.8,-0.78,-1.65,2.65,1.92,0.0,0.0,0.0,0.0,0.0,0.0,-3.6,5.45,1.14,0.0,0.0,0.0,1.0,1.0,-1.2385438680648804,0.8698906302452087,-0.8838416934013367
1760643073008,simple,Load Cells,simple,simple.0,663767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.8,0.22,-1.65,0.65,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,1.45,1.14,0.0,0.0,0.0,1.0,1.0,-0.9557145833969116,0.6067056059837341,-0.6055772304534912
1760643073010,simple,Load Cells,simple,simple.0,663768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.95,-2.2,2.22,0.35,1.65,-0.08,0.0,0.0,0.0,0.0,0.0,0.0,-1.6,-0.55,2.14,0.0,0.0,0.0,1.0,1.0,0.05594426766037941,-0.10448545217514038,0.08401352167129517
1760643073012,simple,Load Cells,simple,simple.0,663769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,-1.2,3.22,1.35,3.65,-2.08,0.0,0.0,0.0,0.0,0.0,0.0,3.4,2.45,1.14,0.0,0.0,0.0,1.0,1.0,0.9634845852851868,-0.7392838597297668,0.6410280466079712
1760643073014,simple,Load Cells,simple,simple.0,663770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,-0.2,4.22,-3.65,2.65,2.92,0.0,0.0,0.0,0.0,0.0,0.0,-3.6,2.45,7.14,0.0,0.0,0.0,1.0,1.0,1.4395288228988647,-0.9763475060462952,0.9824240803718567
1760643073016,simple,Load Cells,simple,simple.0,663771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.95,-2.2,1.22,1.35,0.65,3.92,0.0,0.0,0.0,0.0,0.0,0.0,-1.6,-1.55,5.14,0.0,0.0,0.0,1.0,1.0,1.2380259037017822,-0.8521478176116943,0.8090550899505615
1760643073018,simple,Load Cells,simple,simple.0,663772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.95,-0.2,4.22,0.35,-2.35,2.92,0.0,0.0,0.0,0.0,0.0,0.0,-2.6,-2.55,7.14,0.0,0.0,0.0,1.0,1.0,0.09375844895839691,-0.029078498482704163,-0.004370645619928837
1760643073021,simple,Load Cells,simple,simple.0,663773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.95,1.8,6.22,-0.65,1.65,-0.08,0.0,0.0,0.0,0.0,0.0,0.0,-2.6,3.45,6.14,0.0,0.0,0.0,1.0,1.0,-1.2960422039031982,0.9748689532279968,-0.9212350249290466
1760643073023,simple,Load Cells,simple,simple.0,663774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.95,-1.2,3.22,0.35,0.65,3.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,-0.55,7.14,0.0,0.0,0.0,1.0,1.0,-1.5130852460861206,1.1981326341629028,-1.0499262809753418
1760643073025,simple,Load Cells,simple,simple.0,663775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,-3.2,2.22,-0.65,0.65,5.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,-2.55,8.14,0.0,0.0,0.0,1.0,1.0,-0.565658688545227,0.426320344209671,-0.43706458806991577
