time,phase,device_id,phase_name,phase_id,record_id,2-outer-x,2-outer-y,2-outer-z,2-inner-x,2-inner-y,2-inner-z,3-outer-x,3-outer-y,3-outer-z,3-inner-x,3-inner-y,3-inner-z,0-outer-x,0-outer-y,0-outer-z,0-inner-x,0-inner-y,0-inner-z,1-outer-x,1-outer-y,1-outer-z,1-inner-x,1-inner-y,1-inner-z,sum-x,sum-y,sum-z,moments-x,moments-y,moments-z,COPx,COPy,bx,by,bz
1761145902641,simple,Load Cells,simple,simple.0,27843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.64,0.72,-0.13,-0.62,0.11,-3.03,0.0,0.0,0.0,0.0,0.0,0.0,-1.26,0.83,-3.16,0.0,0.0,0.0,1.0,1.0,0.3449896574020386,-0.23854225873947144,0.19813594222068787
1761145902643,simple,Load Cells,simple,simple.0,27844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.64,3.72,-1.13,-1.62,4.11,0.97,0.0,0.0,0.0,0.0,0.0,0.0,-4.26,7.83,-0.16,0.0,0.0,0.0,1.0,1.0,-0.47915229201316833,0.3282420337200165,-0.36082109808921814
1761145902645,simple,Load Cells,simple,simple.0,27845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.36,-3.28,0.87,-0.62,0.11,0.97,0.0,0.0,0.0,0.0,0.0,0.0,1.74,-3.17,1.84,0.0,0.0,0.0,1.0,1.0,-1.3949806690216064,1.009368896484375,-1.030501127243042
1761145902647,simple,Load Cells,simple,simple.0,27846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,2.72,-0.13,-1.62,1.11,-5.03,0.0,0.0,0.0,0.0,0.0,0.0,-1.26,3.83,-5.16,0.0,0.0,0.0,1.0,1.0,-1.4628390073776245,1.1384971141815186,-1.0873194932937622
1761145902649,simple,Load Cells,simple,simple.0,27847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,-2.28,-3.13,-2.62,1.11,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,-1.26,-1.17,-3.16,0.0,0.0,0.0,1.0,1.0,-0.7138074040412903,0.45392027497291565,-0.4812566637992859
1761145902651,simple,Load Cells,simple,simple.0,27848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.64,1.72,-2.13,0.38,-1.89,1.97,0.0,0.0,0.0,0.0,0.0,0.0,-2.26,-0.17,-0.16,0.0,0.0,0.0,1.0,1.0,0.14659470319747925,-0.19073523581027985,0.12286370992660522
1761145902653,simple,Load Cells,simple,simple.0,27849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.64,-1.28,1.87,-1.62,1.11,-2.03,0.0,0.0,0.0,0.0,0.0,0.0,-2.26,-0.17,-0.16,0.0,0.0,0.0,1.0,1.0,1.1349433660507202,-0.838347852230072,0.7896299958229065
1761145902656,simple,Load Cells,simple,simple.0,27850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.72,1.87,-1.62,2.11,5.97,0.0,0.0,0.0,0.0,0.0,0.0,-1.26,2.83,7.84,0.0,0.0,0.0,1.0,1.0,1.5260353088378906,-1.0379544496536255,0.9843665957450867
1761145902658,simple,Load Cells,simple,simple.0,27851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.36,-1.28,0.87,-0.62,5.11,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,1.74,3.83,0.84,0.0,0.0,0.0,1.0,1.0,0.24605117738246918,-0.18186382949352264,0.18550963699817657
1761145902660,simple,Load Cells,simple,simple.0,27852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.36,1.72,0.87,1.38,-3.89,-2.03,0.0,0.0,0.0,0.0,0.0,0.0,3.74,-2.17,-1.16,0.0,0.0,0.0,1.0,1.0,-0.7438515424728394,0.4701845347881317,-0.5973215699195862
