run,axis,rmse,pearson_r,peak_amp,peak_idx
"0       stationary_spiral10_10.08.2025.csv
1       stationary_spiral10_10.08.2025.csv
2       stationary_spiral10_10.08.2025.csv
3       stationary_spiral10_10.08.2025.csv
4       stationary_spiral10_10.08.2025.csv
                       ...                
9614    stationary_spiral10_10.08.2025.csv
9615    stationary_spiral10_10.08.2025.csv
9616    stationary_spiral10_10.08.2025.csv
9617    stationary_spiral10_10.08.2025.csv
9618    stationary_spiral10_10.08.2025.csv
Name: source_path, Length: 9619, dtype: object",x,115.00644167991439,0.999761580098953,7811.408611767791,5517
"0       stationary_spiral10_10.08.2025.csv
1       stationary_spiral10_10.08.2025.csv
2       stationary_spiral10_10.08.2025.csv
3       stationary_spiral10_10.08.2025.csv
4       stationary_spiral10_10.08.2025.csv
                       ...                
9614    stationary_spiral10_10.08.2025.csv
9615    stationary_spiral10_10.08.2025.csv
9616    stationary_spiral10_10.08.2025.csv
9617    stationary_spiral10_10.08.2025.csv
9618    stationary_spiral10_10.08.2025.csv
Name: source_path, Length: 9619, dtype: object",y,146.03738583807652,0.9991176197821474,-5393.103420109798,6944
"0       stationary_spiral10_10.08.2025.csv
1       stationary_spiral10_10.08.2025.csv
2       stationary_spiral10_10.08.2025.csv
3       stationary_spiral10_10.08.2025.csv
4       stationary_spiral10_10.08.2025.csv
                       ...                
9614    stationary_spiral10_10.08.2025.csv
9615    stationary_spiral10_10.08.2025.csv
9616    stationary_spiral10_10.08.2025.csv
9617    stationary_spiral10_10.08.2025.csv
9618    stationary_spiral10_10.08.2025.csv
Name: source_path, Length: 9619, dtype: object",z,57.321641900476386,0.9990509516732701,-3868.0,5789
"0       stationary_spiral10_10.08.2025.csv
1       stationary_spiral10_10.08.2025.csv
2       stationary_spiral10_10.08.2025.csv
3       stationary_spiral10_10.08.2025.csv
4       stationary_spiral10_10.08.2025.csv
                       ...                
9614    stationary_spiral10_10.08.2025.csv
9615    stationary_spiral10_10.08.2025.csv
9616    stationary_spiral10_10.08.2025.csv
9617    stationary_spiral10_10.08.2025.csv
9618    stationary_spiral10_10.08.2025.csv
Name: source_path, Length: 9619, dtype: object",mag,114.29197977082286,0.9995690352940695,8657.54018182994,5789
"0       stationary_spiral1_10.08.2025.csv
1       stationary_spiral1_10.08.2025.csv
2       stationary_spiral1_10.08.2025.csv
3       stationary_spiral1_10.08.2025.csv
4       stationary_spiral1_10.08.2025.csv
                      ...                
9850    stationary_spiral1_10.08.2025.csv
9851    stationary_spiral1_10.08.2025.csv
9852    stationary_spiral1_10.08.2025.csv
9853    stationary_spiral1_10.08.2025.csv
9854    stationary_spiral1_10.08.2025.csv
Name: source_path, Length: 9855, dtype: object",x,217.84306722279285,0.9970267610512213,7608.468965567252,5852
"0       stationary_spiral1_10.08.2025.csv
1       stationary_spiral1_10.08.2025.csv
2       stationary_spiral1_10.08.2025.csv
3       stationary_spiral1_10.08.2025.csv
4       stationary_spiral1_10.08.2025.csv
                      ...                
9850    stationary_spiral1_10.08.2025.csv
9851    stationary_spiral1_10.08.2025.csv
9852    stationary_spiral1_10.08.2025.csv
9853    stationary_spiral1_10.08.2025.csv
9854    stationary_spiral1_10.08.2025.csv
Name: source_path, Length: 9855, dtype: object",y,324.9437878976389,0.9907919889809889,5077.026688919412,6325
"0       stationary_spiral1_10.08.2025.csv
1       stationary_spiral1_10.08.2025.csv
2       stationary_spiral1_10.08.2025.csv
3       stationary_spiral1_10.08.2025.csv
4       stationary_spiral1_10.08.2025.csv
                      ...                
9850    stationary_spiral1_10.08.2025.csv
9851    stationary_spiral1_10.08.2025.csv
9852    stationary_spiral1_10.08.2025.csv
9853    stationary_spiral1_10.08.2025.csv
9854    stationary_spiral1_10.08.2025.csv
Name: source_path, Length: 9855, dtype: object",z,194.16309159715996,0.9937130898292528,-3733.0,6123
"0       stationary_spiral1_10.08.2025.csv
1       stationary_spiral1_10.08.2025.csv
2       stationary_spiral1_10.08.2025.csv
3       stationary_spiral1_10.08.2025.csv
4       stationary_spiral1_10.08.2025.csv
                      ...                
9850    stationary_spiral1_10.08.2025.csv
9851    stationary_spiral1_10.08.2025.csv
9852    stationary_spiral1_10.08.2025.csv
9853    stationary_spiral1_10.08.2025.csv
9854    stationary_spiral1_10.08.2025.csv
Name: source_path, Length: 9855, dtype: object",mag,173.1090489043497,0.9984209537454278,8468.311460970244,6124
"0       stationary_spiral2_10.08.2025.csv
1       stationary_spiral2_10.08.2025.csv
2       stationary_spiral2_10.08.2025.csv
3       stationary_spiral2_10.08.2025.csv
4       stationary_spiral2_10.08.2025.csv
                      ...                
9513    stationary_spiral2_10.08.2025.csv
9514    stationary_spiral2_10.08.2025.csv
9515    stationary_spiral2_10.08.2025.csv
9516    stationary_spiral2_10.08.2025.csv
9517    stationary_spiral2_10.08.2025.csv
Name: source_path, Length: 9518, dtype: object",x,113.24849358049532,0.999531294527456,7671.755022483448,5431
"0       stationary_spiral2_10.08.2025.csv
1       stationary_spiral2_10.08.2025.csv
2       stationary_spiral2_10.08.2025.csv
3       stationary_spiral2_10.08.2025.csv
4       stationary_spiral2_10.08.2025.csv
                      ...                
9513    stationary_spiral2_10.08.2025.csv
9514    stationary_spiral2_10.08.2025.csv
9515    stationary_spiral2_10.08.2025.csv
9516    stationary_spiral2_10.08.2025.csv
9517    stationary_spiral2_10.08.2025.csv
Name: source_path, Length: 9518, dtype: object",y,186.23453653508648,0.9975705419284895,5405.477788780563,5906
